0 |[(58, 1), (59, 1), (60, 1), (63, 1), (66, 1), (68, 1), (69, 1), (71, 1), (72, 1)]|
00432 |[(69, 1)]|
006 |[(55, 1)]|
01 |[(60, 1)]|
011002 |[(57, 1)]|
02 |[(56, 1), (60, 1)]|
0211003 |[(57, 1)]|
026119291404200106 |[(67, 1)]|
03 |[(56, 1)]|
032 |[(57, 1), (62, 1)]|
04 |[(65, 1)]|
040 |[(67, 1)]|
0403025 |[(55, 1)]|
05 |[(60, 1)]|
050 |[(67, 1)]|
06 |[(57, 1)]|
08 |[(55, 1)]|
09 |[(67, 1)]|
1 |[(55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1)]|
10 |[(58, 1), (59, 1), (60, 1), (63, 1), (66, 1), (67, 1), (68, 1), (69, 1)]|
100 |[(70, 1), (72, 1)]|
10000 |[(60, 1)]|
103678 |[(60, 1)]|
106 |[(57, 1)]|
11 |[(56, 1), (57, 1), (60, 1)]|
1177 |[(67, 1)]|
12 |[(55, 1), (57, 1), (71, 1)]|
12332 |[(60, 1)]|
128 |[(62, 1)]|
13 |[(57, 1)]|
14 |[(58, 1), (59, 1), (63, 1), (66, 1), (68, 1), (69, 1), (72, 1)]|
15 |[(56, 1), (57, 1)]|
1500 |[(57, 1)]|
1527 |[(55, 1)]|
16 |[(56, 1), (57, 1), (58, 1), (59, 1), (63, 1), (66, 1), (68, 1), (69, 1)]|
161 |[(70, 1)]|
17 |[(70, 1)]|
1767 |[(60, 1)]|
1774 |[(60, 1)]|
18 |[(55, 1)]|
19 |[(57, 1), (64, 1)]|
19020 |[(60, 1)]|
1903 |[(71, 1)]|
1987 |[(55, 1), (57, 1)]|
1988 |[(62, 1)]|
1989 |[(64, 1)]|
1990 |[(57, 1)]|
1992 |[(55, 1)]|
1994 |[(72, 1)]|
1995 |[(55, 1), (57, 1)]|
1996 |[(55, 1), (57, 1), (62, 1)]|
1997 |[(57, 1), (70, 1)]|
1998 |[(57, 1), (60, 1), (62, 1), (70, 1)]|
1999 |[(55, 1), (57, 1)]|
2 |[(56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (63, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1)]|
200 |[(72, 1)]|
2000 |[(57, 1), (61, 1), (65, 1)]|
2001 |[(55, 1), (65, 1)]|
2002 |[(55, 1), (57, 1), (62, 1)]|
2003 |[(55, 1), (57, 1), (62, 1), (64, 1)]|
2004 |[(55, 1), (57, 1), (60, 1), (64, 1)]|
2005 |[(57, 1)]|
2007 |[(60, 1)]|
2009 |[(56, 1)]|
2011 |[(56, 1)]|
2012 |[(56, 1)]|
2014 |[(56, 1), (67, 1)]|
2015 |[(71, 1)]|
2019 |[(67, 1)]|
202 |[(62, 1)]|
2057 |[(71, 1)]|
21 |[(71, 1)]|
226 |[(55, 1)]|
23 |[(55, 1), (67, 1)]|
2343 |[(57, 1)]|
2361 |[(57, 1)]|
24 |[(55, 1), (57, 1), (62, 1), (65, 1)]|
25 |[(65, 1)]|
2645 |[(57, 1)]|
289 |[(56, 1)]|
29 |[(70, 1)]|
296 |[(56, 1)]|
2d |[(67, 1)]|
2k |[(58, 1), (59, 1), (63, 1), (66, 1), (68, 1), (69, 1)]|
3 |[(55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1)]|
30 |[(57, 1)]|
300 |[(72, 1)]|
30000 |[(71, 1)]|
31 |[(67, 1)]|
32 |[(65, 1)]|
33 |[(65, 1)]|
34 |[(65, 1)]|
371 |[(70, 1)]|
3rd |[(60, 1)]|
4 |[(56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (71, 1)]|
400 |[(72, 1)]|
41 |[(65, 1), (67, 1)]|
42 |[(67, 1)]|
4431 |[(60, 1)]|
48 |[(67, 1)]|
4th |[(55, 1)]|
5 |[(56, 1), (57, 1), (58, 1), (60, 1), (64, 1), (67, 1), (72, 1)]|
50 |[(57, 1), (60, 1), (65, 1), (67, 1)]|
511 |[(60, 1)]|
516 |[(60, 1)]|
51660 |[(62, 1)]|
52 |[(56, 1)]|
528 |[(60, 1)]|
53 |[(58, 1), (59, 1), (63, 1), (66, 1), (68, 1), (69, 1)]|
54 |[(65, 1)]|
546 |[(67, 1)]|
54992 |[(71, 1)]|
563 |[(56, 1)]|
57 |[(57, 1)]|
58 |[(57, 1)]|
580 |[(56, 1)]|
59 |[(57, 1)]|
6 |[(56, 1), (58, 1), (59, 1), (60, 1), (63, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1), (72, 1)]|
6019 |[(60, 1)]|
64 |[(62, 1)]|
6688 |[(60, 1)]|
69 |[(55, 1)]|
6aa |[(71, 1)]|
7 |[(56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (72, 1)]|
710 |[(65, 1)]|
72020 |[(57, 1)]|
721 |[(60, 1)]|
729 |[(60, 1)]|
7494 |[(71, 1)]|
75 |[(72, 1)]|
755 |[(67, 1)]|
8 |[(57, 1), (60, 1), (65, 1), (67, 1), (72, 1)]|
80 |[(58, 1), (59, 1), (63, 1), (66, 1), (68, 1), (69, 1)]|
84 |[(56, 1), (65, 1)]|
85 |[(72, 1)]|
865 |[(62, 1)]|
884 |[(62, 1)]|
9 |[(56, 1), (60, 1), (67, 1), (70, 1), (72, 1)]|
90 |[(57, 1)]|
908 |[(67, 1)]|
937261 |[(56, 1)]|
95 |[(72, 1)]|
9501101 |[(55, 1)]|
96 |[(55, 1), (64, 1)]|
97 |[(57, 1), (62, 1)]|
97073 |[(55, 1)]|
978 |[(56, 1)]|
98 |[(57, 1)]|
98739 |[(56, 1)]|
a |[(55, 1), (56, 1), (57, 1), (60, 1), (61, 1), (62, 1), (64, 1), (65, 1), (67, 1), (70, 1), (71, 1), (72, 1)]|
aaai |[(55, 1), (57, 1), (64, 1)]|
about |[(55, 1), (56, 1), (57, 1), (60, 1), (61, 1), (62, 1), (64, 1), (65, 1), (67, 1), (70, 1), (71, 1), (72, 1)]|
abov |[(64, 1), (65, 1)]|
absent |[(55, 1)]|
abstract |[(55, 1), (56, 1), (57, 1), (60, 1), (62, 1), (67, 1), (71, 1)]|
ac |[(71, 1)]|
academ |[(62, 1)]|
acceler |[(55, 1), (56, 1), (64, 1)]|
acceleromet |[(56, 1)]|
accept |[(60, 1)]|
accord |[(55, 1)]|
accur |[(57, 1)]|
accuraci |[(57, 1), (60, 1), (62, 1), (72, 1)]|
acid |[(57, 1), (62, 1)]|
acoustic_neuroma |[(55, 1)]|
acq |[(65, 1)]|
acquisit |[(56, 1)]|
activ |[(56, 1)]|
acut |[(67, 1)]|
ad |[(55, 1), (57, 1)]|
adapt |[(55, 1)]|
addit |[(60, 1)]|
admiss |[(55, 1)]|
adult |[(65, 1)]|
advantag |[(60, 1)]|
after |[(60, 1)]|
against |[(57, 1)]|
agaricu |[(66, 1)]|
age_gt_60 |[(55, 1)]|
agent |[(57, 1), (62, 1)]|
ai |[(55, 1)]|
aik |[(57, 1)]|
air |[(55, 1), (60, 1)]|
airbonegap |[(55, 1)]|
akademischen |[(55, 1)]|
al |[(60, 1), (65, 1)]|
alain |[(57, 1)]|
alexand |[(55, 1)]|
algo |[(57, 1)]|
algorithm |[(55, 1), (57, 1), (64, 1), (65, 1)]|
ali |[(57, 1), (62, 1)]|
